catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN1-3-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya","'July 28, 1905","Junius Henderson",'1905-07-28,,"28, 1905}}. Saw {{taxon|Sayornis saya|Say Phoebe}} and {{taxon|Carduelis pinus|siskin}}, {{taxon|Tur",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,siskin,"Carduelis pinus","'July 28, 1905","Junius Henderson",'1905-07-28,,"|Say Phoebe}} and {{taxon|Carduelis pinus|siskin}}, {{taxon|Turdus migratorius|America Robin}}, {{ta",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-C,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius","'July 28, 1905","Junius Henderson",'1905-07-28,,"skin}}, {{taxon|Turdus migratorius|America Robin}}, {{taxon|Colaptes auratus|Northern Flicker}}.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-D,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Northern Flicker","Colaptes auratus","'July 28, 1905","Junius Henderson",'1905-07-28,,"bin}}, {{taxon|Colaptes auratus|Northern Flicker}}.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-E,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya","'July 29","Junius Henderson",'1905-07-29,,"|July 29}}, Saw {{taxon|Sayornis saya|Say Phoebe}}, Heard a {{taxon|Turdus migratorius|America Robin",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-F,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius","'July 29","Junius Henderson",'1905-07-29,,"Heard a {{taxon|Turdus migratorius|America Robin}} at 11:30 last night.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-G,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya","'July 30","Junius Henderson",'1905-07-30,,"|July 30}}, Saw {{taxon|Sayornis saya|Say Phoebe}}

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-H,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Pine Siskin","Carduelis pinus","'July 31","Junius Henderson",'1905-07-31,," 31}}, heard {{taxon|Carduelis pinus|Pine Siskin}} at noon at Court House, have seen none for a week",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-I,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Kingbird,"Tyrannus ","'July 31","Junius Henderson",'1905-07-31,,"nd I ----$2.00. Saw a {{taxon|Tyrannus |Kingbird}} and {{taxon|Turdus migratorius|America Robin}} on",,,"United States of America",US,Colo,,,Denver,"Denver, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-J,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius","'July 31","Junius Henderson",'1905-07-31,,"d}} and {{taxon|Turdus migratorius|America Robin}} on way to depot. Left Boulder with Dr. Ramaley at",,,"United States of America",US,Colo,,,Denver,"Denver, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-4-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pine,Pinus,"'July 31","Junius Henderson",'1905-07-31,,"ying dry positions, while the {{taxon|Pinus|pine}}s,

{{#from|title=Page:Field Notes of Junius Hende",,,"United States of America",US,Colo,,,"New Mexico","New Mexico",,,,,,,,,,,,,,,,,,
JHFN1-5-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pine,Pinus,"'July 31","Junius Henderson",'1905-07-31,,"ut a little further south the {{taxon|Pinus|pine}}s mingle with the {{taxon|Quercus|oak}}s in dryer ",,,"United States of America",US,Colo,,,"New Mexico","New Mexico",,,,,,,,,,,,,,,,,,
JHFN1-5-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,oak,Quercus,"'July 31","Junius Henderson",'1905-07-31,,"inus|pine}}s mingle with the {{taxon|Quercus|oak}}s in dryer situations and also appear on rocky rid",,,"United States of America",US,Colo,,,"New Mexico","New Mexico",,,,,,,,,,,,,,,,,,
