catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN3-3-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"horned larks","Eremophila alpestris","'Jany 27, 1909","Junius Henderson",'1909-01-26,,"nd warming toward noon. Took Rocky Ridge road. Saw big flock blackbirds, numerous {{taxon|Eremophila alpestris|horned larks}}, several hawks and {{taxon|magpie|magpies}} and one {{taxon|Sturnella|meadowlark}}. Reached mouth of {{place|Box Elder Creek",,,"United States of America",US,,,,hotel,"Northern Hotel",,,,,,,,,,,,,,,,,,
JHFN3-3-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpies,magpie,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"d. Saw big flock blackbirds, numerous {{taxon|Eremophila alpestris|horned larks}}, several hawks and {{taxon|magpie|magpies}} and one {{taxon|Sturnella|meadowlark}}. Reached mouth of {{place|Box Elder Creek, Colorado|Box Elder}} at 10 a.m. 
	N of cre",,,"United States of America",US,,,,hotel,"Northern Hotel",,,,,,,,,,,,,,,,,,
JHFN3-3-C,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadowlark,Sturnella,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"{taxon|Eremophila alpestris|horned larks}}, several hawks and {{taxon|magpie|magpies}} and one {{taxon|Sturnella|meadowlark}}. Reached mouth of {{place|Box Elder Creek, Colorado|Box Elder}} at 10 a.m. 
	N of creek, {{taxon|Niobrara|Niobrara}} and Dak",,,"United States of America",US,,,,hotel,"Northern Hotel",,,,,,,,,,,,,,,,,,
JHFN3-3-D,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Niobrara,Niobrara,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"owlark}}. Reached mouth of {{place|Box Elder Creek, Colorado|Box Elder}} at 10 a.m. 
	N of creek, {{taxon|Niobrara|Niobrara}} and Dakota dip 66deg, strike N 55deg E. Benton measures 143 yds horizontally across

{{#from|title=Page:Field Notes of Juniu",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Niobrara,Niobrara,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"tes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878}}

and Dakota about 100 yards. S of creek {{taxon|Niobrara|Niobrara}} dips 82¡ strike N 45¡ E carries it directly into outcrops on N side. N end of S side outcrop swings to N for last few feet. ",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pentacrinus,Pentacrinus,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"tly but apparently conformably into angular yellow s.s. Probably that in which Hayden found {{taxon|Pentacrinus|Pentacrinus}} and {{taxon|Ostrea}}. Above this is the fossiliferous l.s. At one point there is a marked unconformity near base of Jura for",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-C,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea,Ostrea,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"nformably into angular yellow s.s. Probably that in which Hayden found {{taxon|Pentacrinus|Pentacrinus}} and {{taxon|Ostrea}}. Above this is the fossiliferous l.s. At one point there is a marked unconformity near base of Jura for 50 ft thus  ((drawin",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-D,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus,Inoceramus,"'Jany 27, 1909","Junius Henderson",'1909-01-26,," thus  ((drawing in field book)). 
	Worked back S of Niobrara ridge, found no fossils in Benton and only {{taxon|Inoceramus}} and {{taxon|Ostrea|Ostrea}} fragments 

{{#from|title=Page:Field Notes of Junius Henderson, Notebook 3.pdf/5|uri=http://en.w",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-E,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea,Ostrea,"'Jany 27, 1909","Junius Henderson",'1909-01-26,,"ok)). 
	Worked back S of Niobrara ridge, found no fossils in Benton and only {{taxon|Inoceramus}} and {{taxon|Ostrea|Ostrea}} fragments 

{{#from|title=Page:Field Notes of Junius Henderson, Notebook 3.pdf/5|uri=http://en.wikisource.org/wiki/Page:Fiel",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-5-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/5?oldid=3615886",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"white tailed jack rabbit","Lepus townsendii","'Jany 27, 1909","Junius Henderson",'1909-01-26,,"of_Junius_Henderson,_Notebook_3.pdf/5?oldid=3615886}}

in the Dakota. Saw {{taxon|Lepus townsendii|white tailed jack rabbit}}. 
	Then came back to {{place|Ft. Collins, Colorado|Ft. Collins}} by road which passes the mouth of {{place|Owl Creek Canyon|",,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
